"","Run Time Random Lasso","Run Time Rapid Lasso","Truth","Average Coef Random Lasso","Average Coef Rapid Lasso","Average Coef Random Lasso","Difference Rapid Lasso"
"1",10.264036766688,1.2613299926122,3,0.670678066614734,0.873141552803766,2.30277151695507,2.16500184386531
"2",NA,NA,3,0.663429057960153,0.895143563747307,2.30976057054644,2.07254423320946
"3",NA,NA,-3,0.125623770413376,0.150033755411772,3.14415520092326,3.12895320233972
"4",NA,NA,2,0.253625439625105,0.426518016172299,1.74222930614576,1.5665799839721
"5",NA,NA,2,0.217200067097796,0.301860764894832,1.81537363797514,1.66901541232016
"6",NA,NA,-2,0.078648005682831,0.085457938559207,2.05141911240246,2.10473511792777
"7",NA,NA,1.5,0.3068667238308,0.42685471374703,1.23027263961355,1.05063561183508
"8",NA,NA,1.5,0.303252648266332,0.442962544474287,1.21535532464801,1.06506680432211
"9",NA,NA,1.5,0.211539526686073,0.338642923861285,1.25611895921955,1.17346969720218
"10",NA,NA,-1.5,0.0778864574572544,0.104932496670868,1.55827498218271,1.61063211435913
