"","Run Time Random Lasso","Run Time Rapid Lasso","Truth","Average Coef Random Lasso","Average Coef Rapid Lasso","Average Coef Random Lasso","Difference Rapid Lasso"
"1",0.314166952371597,1.69767019748688,3,0,0,0.75,0.6
"2",NA,NA,3,0,0,0.75,0.6
"3",NA,NA,-3,0,0.000790659133706477,0.75,0.6
"4",NA,NA,2,0,0,0.5,0.4
"5",NA,NA,2,0,0,0.5,0.4
"6",NA,NA,-2,0,0,0.5,0.4
"7",NA,NA,1.5,0,0,0.375,0.3
"8",NA,NA,1.5,0.00120289200972496,0.00189888398491019,0.37211863449205,0.3
"9",NA,NA,1.5,0,0,0.375,0.3
"10",NA,NA,-1.5,0,0.000755132307736236,0.375,0.3
