"","V1","V2","V3","V4"
"1",100,10,5,0.708974123001099
"2",200,20,5,0.755073070526123
"3",300,30,5,0.855374097824097
"4",400,40,5,0.793118953704834
"5",500,50,5,0.817866086959839
"6",600,60,5,1.18136096000671
"7",700,70,5,0.987705945968628
"8",800,80,5,1.17794108390808
"9",900,90,5,1.23392200469971
"10",1000,100,5,1.16678905487061
"11",1100,110,5,1.32988405227661
"12",1200,120,5,1.25850796699524
"13",1300,130,5,1.29412698745728
"14",1400,140,5,1.30231380462646
"15",1500,150,5,1.36097097396851
"16",1600,160,5,1.27650499343872
"17",1700,170,5,1.31636905670166
"18",1800,180,5,1.42567491531372
"19",1900,190,5,1.52315402030945
"20",2000,200,5,1.43674492835999
"21",2100,210,5,1.45894193649292
"22",2200,220,5,1.67762303352356
"23",2300,230,5,2.13624000549316
"24",2400,240,5,2.00379300117493
"25",2500,250,5,2.08077692985535
"26",2600,260,5,1.75744080543518
"27",2700,270,5,1.75258016586304
"28",2800,280,5,1.8545970916748
"29",2900,290,5,2.24238085746765
"30",3000,300,5,2.34845900535583
"31",3100,310,5,2.44078803062439
"32",3200,320,5,2.48364400863647
"33",3300,330,5,2.29545998573303
"34",3400,340,5,2.21247100830078
"35",3500,350,5,2.42178511619568
"36",3600,360,5,2.46430206298828
"37",3700,370,5,2.52834510803223
"38",3800,380,5,2.97859621047974
"39",3900,390,5,2.66118097305298
"40",4000,400,5,2.60502815246582
"41",4100,410,5,2.65818500518799
"42",4200,420,5,2.67377901077271
"43",4300,430,5,2.81753993034363
"44",4400,440,5,2.82973909378052
"45",4500,450,5,3.53427505493164
"46",4600,460,5,3.43659210205078
"47",4700,470,5,3.6946918964386
"48",4800,480,5,3.62581706047058
"49",4900,490,5,3.73610496520996
"50",5000,500,5,4.57170104980469
"51",5100,510,5,4.54450702667236
"52",5200,520,5,4.63180088996887
"53",5300,530,5,4.45524191856384
"54",5400,540,5,4.694256067276
"55",5500,550,5,5.23998713493347
"56",5600,560,5,4.83060312271118
"57",5700,570,5,5.06233406066895
"58",5800,580,5,5.11560010910034
"59",5900,590,5,5.56318306922913
"60",6000,600,5,5.68760895729065
"61",6100,610,5,5.82169318199158
"62",6200,620,5,5.91725516319275
"63",6300,630,5,5.73126411437988
"64",6400,640,5,9.37583708763123
"65",6500,650,5,7.47224497795105
"66",6600,660,5,6.77027702331543
"67",6700,670,5,7.12935400009155
"68",6800,680,5,7.28500008583069
"69",6900,690,5,6.99221181869507
"70",7000,700,5,7.19756698608398
"71",7100,710,5,7.41735911369324
"72",7200,720,5,6.79016494750977
"73",7300,730,5,7.39772820472717
"74",7400,740,5,7.49745798110962
"75",7500,750,5,7.8910858631134
"76",7600,760,5,7.97834801673889
"77",7700,770,5,7.41112184524536
"78",7800,780,5,8.21719288825989
"79",7900,790,5,9.47743487358093
"80",8000,800,5,9.52124810218811
"81",8100,810,5,8.81490802764893
"82",8200,820,5,9.3665189743042
"83",8300,830,5,9.95722913742065
"84",8400,840,5,11.2503759860992
"85",8500,850,5,10.7057149410248
"86",8600,860,5,9.99562215805054
"87",8700,870,5,9.77657914161682
"88",8800,880,5,12.1974918842316
"89",8900,890,5,13.5453569889069
"90",9000,900,5,10.3635268211365
"91",9100,910,5,10.798378944397
"92",9200,920,5,12.0934948921204
"93",9300,930,5,12.4791300296783
"94",9400,940,5,13.0346159934998
"95",9500,950,5,12.1747059822083
"96",9600,960,5,11.3939290046692
"97",9700,970,5,12.4907178878784
"98",9800,980,5,12.6228067874908
"99",9900,990,5,10.944797039032
"100",10000,1000,5,11.6028370857239
"101",10100,1010,5,12.9364788532257
"102",10200,1020,5,11.8980240821838
"103",10300,1030,5,12.6454610824585
"104",10400,1040,5,12.4947531223297
"105",10500,1050,5,13.6674678325653
"106",10600,1060,5,14.7340829372406
"107",10700,1070,5,15.013993024826
"108",10800,1080,5,14.2618451118469
"109",10900,1090,5,13.5441579818726
"110",11000,1100,5,13.3427488803864
"111",11100,1110,5,13.819659948349
"112",11200,1120,5,20.7230999469757
"113",11300,1130,5,15.2312908172607
"114",11400,1140,5,14.6450281143188
"115",11500,1150,5,13.6376059055328
"116",11600,1160,5,14.4259128570557
"117",11700,1170,5,14.3500881195068
"118",11800,1180,5,14.012843132019
"119",11900,1190,5,14.178838968277
"120",12000,1200,5,14.6398410797119
"121",12100,1210,5,16.9103901386261
"122",12200,1220,5,16.533262014389
"123",12300,1230,5,16.2311010360718
"124",12400,1240,5,15.9171149730682
"125",12500,1250,5,16.9665610790253
"126",12600,1260,5,16.7308979034424
"127",12700,1270,5,15.1551361083984
"128",12800,1280,5,16.8143649101257
"129",12900,1290,5,16.2431910037994
"130",13000,1300,5,18.5302131175995
"131",13100,1310,5,22.5926778316498
"132",13200,1320,5,20.1449999809265
"133",13300,1330,5,19.7304019927979
"134",13400,1340,5,27.2661249637604
"135",13500,1350,5,24.1297998428345
"136",13600,1360,5,19.5809569358826
"137",13700,1370,5,18.2955501079559
"138",13800,1380,5,17.9710350036621
"139",13900,1390,5,18.6214580535889
"140",14000,1400,5,19.7739191055298
"141",14100,1410,5,20.1082849502563
"142",14200,1420,5,19.7514019012451
"143",14300,1430,5,20.3383040428162
"144",14400,1440,5,20.4220180511475
"145",14500,1450,5,22.0896298885345
"146",14600,1460,5,22.1223089694977
"147",14700,1470,5,26.3679599761963
"148",14800,1480,5,22.4951109886169
"149",14900,1490,5,20.9859700202942
"150",15000,1500,5,20.384400844574
"151",15100,1510,5,19.9809720516205
"152",15200,1520,5,21.2067039012909
"153",15300,1530,5,24.754597902298
"154",15400,1540,5,25.2487630844116
"155",15500,1550,5,23.2098529338837
"156",15600,1560,5,23.7919909954071
