"","ZMYND8","TPCN1","HEG1","HACE1","LDLR","MOCS1","KIR2DS2","ACADM","PIK3IP1","PBRM1","TBC1D15","DBNDD1","ZFP64","GALNT12","UBALD1","ARHGAP9","LSS","LOC100133227","LOC100131066","LOC100130899","N4BP3","LINC01531","LOC100507281","CREB3L2","ERMP1","NEK1","PIAS3","BICDL2","GPM6A","ZBTB8A","ABCC5","BMPR2","ZXDC","RAMP1","HEMK1","NMRK1","RPL5","PSME2","SCD5","KMT2A","RGS16","CD38","SHOX2","FAM189B","PPM1M","PADI2","TROAP","IFI6","DDX46","USP18","CST7","DHRS1","LITAF","CDK2AP2","POF1B","HPGDS","NTN5","SH2D1B","SORD","RBMY2FP","TRGV7","BTRC","MLC1","FITM2","RPS10P7","CENPC","FBXL2","ALDH6A1","MTMR1","SPEM1","TRGV5","XK","RBM45","NPL","ADHFE1","LDHD","SMAD6","ANAPC4","MRAP","PRF1","AUTS2","COA6","ASPH","KLHL10","NECAB1","MGC4771","TPSD1","CRYBB2","CSF2RB","TRBV19","HIST1H3G","ING1","CCL23","IL18R1","WASHC1","PCDHB2","YIPF7","MGARP","MAP3K8","ABCD2","BANF1","IFT74","AGMO","LIN54","OAS3","RB1CC1","ZMYND11","HK2","IL2RG","NAGA","KRT2","PMS1","AGTR2","ZNF818P","CDY2B","PRY2","CDY1B","ZSCAN2","AGPAT4","HERC4","CTSL3P","ACR","ACTN2","CDK8","CREBL2","ACAA1","ARNT","AUH","CAT","CCR3","ATF2","FCER1A","GNAL","INSM1","ITGA5","MTAP","ODF2","OVGP1","SERPINB2","PHB","POU2F1","PPP1CB","PTPN9","ATXN2","SELPLG","TGIF1","UNG","ZNF133","ADAM12","HIST1H3H","CD83","CD163","SEMA4F","CDH1","EPRS","FOXA3","NAIP","STK17A","SPTLC2","MTOR","PLA2G7","CCS","GRK3","HCLS1","DMXL1","SMO","AKAP9","RNF41","MPHOSPH6","SMAD7","GZMA","PPP2R5D","FBLN5","TBL3","RELB","PDIA5","TKTL1","PITPNC1","IKBKE","SLC25A13","CADM1","CLDN15","UBE3C","PIEZO1","RNF144A","SNX19","KIAA0141","NCAPD2","POLA1","TCP11L1","PPP3CB","CAPN3","ZNF767P","PCDHGA6","OMA1","APOL1","RNF135","ZDHHC16","HNRNPA3P1","ABCG1","SKIL","KIR2DL4","LOC401957","EEF1B2P5","LOC439962","LOC643654","LOC644193","RPL37AP8","LOC644590","LOC645529","FAM90A22P","PHKA1P1","RPS28P4","LOC646543"
"ZMYND8",0,0,-0.0297794925405444,-0.0186155107946725,0.0734789034724066,0,0.0869205819164672,0.00652692870664939,0.0546995824861097,0.034456052587298,0.00868503875934161,0,0.134520107104576,0.0240613030359716,0.0944083484654664,0.107749084925863,0.0216087629257966,0,-0.0163566109128734,0.0242203475700847,-0.00327962949706089,0.0292944741697752,0.196664702326361,0.000182737876295849,0.0171120611135296,0,-0.0764908280394573,-0.0324029293795869,-0.00216097093448975,0.0517990652274315,0.220784551889839,-0.0669778197580251,-0.0714734544100064,-0.0848979016355722,0.0117416502713846,-0.0380888057027682,-0.0530394739432384,-0.0816393535893632,0.0605446906550639,0.0329550991211301,-0.0632215821944764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPCN1",0.02487751805562,0,-0.0585845415286661,0.0843652132704948,0,-0.0454145612451065,-0.0163932609712886,-0.00573008866177199,0.0258071090420625,0.0278282040528823,0,0.0505659413588445,-0.053660173448089,0.065256976549131,0.0741819278090095,0.0404007841674017,0.0543471542810944,-0.0131273715028125,-0.052902175368951,0.0248855191352068,0,0,0.0466349232522458,0.100649209244477,-0.0388663484973902,0.0477297968462433,-0.0725683412819101,-0.0511715003776173,0.0357871330745328,-0.000616905516798647,-0.0844753869836967,-0.0510407655856769,0,0.0642941515869961,-0.0482836116656878,-0.0741375805196978,-0.0094142338806944,0.05975832872959,-0.081412319073736,-0.0521025629866965,-0.0455504530630021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEG1",-0.0200647999332961,-0.0231808946293347,0,-0.0390246582183562,0.0885467143555974,0.0795777236434956,0,0.0299417172729321,0.0387624338573639,0.212630050604415,-0.0462981227964764,-0.029638563179264,0,-0.025181054404562,-0.0665513197166175,-0.00081268584762512,-0.025278129952631,-0.00554738218944524,0,0.0283491817031338,0,-0.0203191067343621,-0.0168028427448949,0.0990222425402605,-0.0394887967335951,0.00173674991583227,0.0304037209558542,-0.0372574252843737,0,0.0681880436624896,0.0244115982840458,0.0240689991466648,0.138331868391294,0,-0.00291681800970775,-0.0307031968543891,-0.115483077490246,0.0725849972265128,0.0206917173620559,0.0392856485500398,0.0619486266430181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HACE1",-0.0785384093991029,0.00266373612793727,-0.0645919275987004,0,-0.0458959093522004,0.0340724400432112,-0.080546632830355,-0.0641504162274925,0.0113535082015711,0.021013224848461,-0.074665687804146,0.0753484824825912,-0.0137456533969405,0.0439329629636689,0.191604857960846,0.0429301489836117,0.027140164627751,0.0200526825220845,0.217706055187465,-0.0534034766912193,-0.0282694537655521,-0.113314234605083,-0.182087665594923,-0.00636228766156625,-0.0225816599108334,0.195482719310454,0.0705929992742715,-0.0141276718821499,0.022945065036732,-0.0420601082892722,-0.0660619872072911,0.0823800166231204,0.108438681155424,0.140271622177197,0.00681360581240943,0.0217237795115205,0.068366293050662,0.0302473643015873,0.0687606288048647,-0.0486199603571953,-0.113670842427277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDLR",0.053166603332021,0,0.125383407432073,-0.0908726093647081,0,0.025996923547626,0.0626410583965595,0.0186315676055714,-0.00250718710344809,0.0367883319427353,0.0590298231915643,-0.106142471666274,0.0154611178427003,0.0356468506052241,0.0465925192860481,-0.0495390120406132,0,0.062903414597431,-0.0110502067322437,0,0.0454256009895547,-0.0144177943282279,-0.0459295967695541,0,0.0195294668732587,0.064409580069456,-0.0149176838113239,-0.0127747794489051,-0.100792417137802,-0.0393473068600263,-0.107919975521954,0.0392002883321287,-0.113934374621268,0,0.116958556890042,-0.00686091998339596,-0.0479180428405407,0.0864843975849285,-0.00519360397826465,0.0349108081797967,-0.024225377587131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOCS1",-0.0286924420560882,0,-0.0229528366462587,0.00357775248076349,0.0340655961948305,0,-0.0291221124223018,-0.0591542478812749,0.0544577241748803,-0.0241511833151384,-0.0548501754668946,0.0932184310864373,0.0697397394061406,-0.0876937738533944,-0.0961036953798326,-0.00927006961319828,0,0.0596812861582399,0.0789152666402212,-0.0393791856190652,-0.0158406295011292,-0.0238486630587805,0.0281941273936353,0,-0.0619451329888625,0.106530218508511,0.0707950757083451,0.0787324442261669,-0.0238591569406811,0.0485738414588514,-0.0459543395306289,0.0114491300899747,0.166412591587302,0,0.0325714334691342,-0.0539215923176485,-0.0109965779121691,-0.0673835180846717,-0.0697697427553477,-0.0388541281915408,-0.0625952691470909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR2DS2",0.0799047545378139,-0.0304439902475432,-0.00790654767081043,-0.0937633353266021,0.0388608732525916,-0.0130788899878145,0,-0.0553133787154576,-0.00688145328436701,0.0170583528931964,-0.0222973945633654,0,0.134604372775026,0.0541131930472941,0.0139211269886743,-0.0787358930045332,-0.00672600828411734,-0.0345837103494443,0,-0.00773169845029944,0.00106579991347295,-0.0172804048485286,-0.0246494116196699,0.0648422462316428,0.0498188290644076,0.0115999600042008,-0.0495151374603561,0.038444489818258,0,0.013867528775667,-0.0273654308333649,-0.0123427411647059,-0.0550298782911255,0,-0.0168450363932293,-0.026515338522936,-0.0444251979767688,-0.0616801415199471,0.0720748333818227,-0.0183854232177242,-0.033824549775092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADM",0,0,0.110776224905212,-0.197524386740454,0.0219256681636992,-0.0505401257420041,-0.12848906391723,0,-0.0829088563504111,0.0437928954196077,-0.104657354527257,0.117136860068888,0.0450519034829591,-0.131394602344785,-0.0419305954147376,0,0.081848190443224,0,0,0,-0.0672659848490556,-0.0401042141184556,0.123098766777425,0,0.0522470882145972,0.0896279899400397,-0.102052027799673,-0.0477957146181829,0,-0.016472826559532,0.130702030698911,0.043277025027144,-0.153634621585179,0,0,-0.0409151583243668,-0.10757321365125,0.0610011991034511,0.0687888273804998,0.0650722782292318,0.260177213640181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3IP1",-0.00275393042324943,0,0.0338792589633164,0.091110268934094,-0.00663021313653194,0.060176927822377,-0.0146153167262608,-0.0437408015868388,0,-0.170227195935263,0.00247245505964342,0,0.0166265058138491,0.0499904614435507,0.0952736397446098,0.0115182260299317,0,0,0.00202966507151054,-0.0581191395912693,-0.110836583950123,0,-0.051922761990358,-0.0288212797688184,0.0261285210116536,0,0,-0.0461639913190667,-0.0374093932641213,-0.123927787505358,0.0505660624845869,0.014771635600332,0.0693752757860519,0.0389568805844213,0.0440558192005685,0,0.0933520974598581,-0.0473230382200137,0,0.122058403804352,-0.106763016022904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBRM1",0.00885788046049125,0.0282359923554244,0.219173601013499,0.110900064208575,0.0452945434338307,0,0.0303134647145077,0.054148093729809,-0.105403410097069,0,-0.0611703458253106,0,0.0301375183444486,0.0719471653227446,0.00941401840759726,-0.0693864305352586,-0.134221235039222,0.0160389659752893,-0.0839176950185409,0.0410336065908136,-0.157442131446812,0.0748120030438124,-0.0815078968261092,0.0362389554137579,0.00210047062761852,-0.115856469360912,-0.00236482693562547,0.0108082250320042,0,0.15746215561131,-0.113856550945241,0.0242164674125228,0.00919963970907976,0.101212929288442,-0.0318774611641519,-0.0218231969883971,-0.00120246927518344,-0.0509553782827073,0.0484605255469162,0.0920229039728671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
