"","Remaining","Complete","Percent","Passed","Average","Total"
"1",7581.16632223129,1549662805.34882,0.00934579439252336,71.520437002182,35.760218501091,7652.68675923348
"2",9802.72429720561,1549665026.9068,0.014018691588785,139.375226974487,46.4584089914958,9942.09952418009
"3",10888.9165949821,1549666113.09909,0.0186915887850467,207.407935142517,51.8519837856293,11096.3245301247
"4",11586.0263967991,1549666810.2089,0.0233644859813084,277.177664995193,55.4355329990387,11863.2040617943
"5",11986.0982151031,1549667210.28071,0.0280373831775701,345.752833127975,57.6254721879959,12331.8510482311
"6",12156.1649007797,1549667380.3474,0.0327102803738318,411.078040122986,58.7254343032837,12567.2429409027
"7",12294.832726121,1549667519.01523,0.0373831775700935,477.469232082367,59.6836540102959,12772.3019582033
"8",12289.3362000253,1549667513.5187,0.0420560747663551,539.531833171844,59.9479814635383,12828.8680331972
"9",12224.424542141,1549667448.60704,0.0467289719626168,599.236497163773,59.9236497163773,12823.6610393047
"10",12186.1323916912,1549667410.31489,0.0514018691588785,660.332297086716,60.0302088260651,12846.4646887779
"11",12211.9869812727,1549667436.16948,0.0560747663551402,725.464573144913,60.4553810954094,12937.4515544176
"12",12177.2510456855,1549667401.43354,0.0607476635514019,787.583400964737,60.583338535749,12964.8344466503
"13",12112.0340721948,1549667336.21657,0.0654205607476635,847.842385053635,60.5601703609739,12959.8764572484
"14",12042.088061889,1549667266.27056,0.0700934579439252,907.695080041885,60.5130053361257,12949.7831419309
"15",11955.4308594167,1549667179.61336,0.0747663551401869,966.09542298317,60.3809639364481,12921.5262823999
"16",11897.3132874405,1549667121.49579,0.0794392523364486,1026.67170500755,60.3924532357384,12923.984992448
"17",11824.3572310342,1549667048.53973,0.0841121495327103,1085.91035795212,60.3283532195621,12910.2675889863
"18",11789.1055484195,1549667013.28805,0.088785046728972,1148.68207907677,60.4569515303562,12937.7876274962
"19",11761.8622351646,1549666986.04473,0.0934579439252336,1212.56311702728,60.6281558513641,12974.4253521919
"20",11706.0599268618,1549666930.24243,0.0981308411214953,1273.71636509895,60.6531602428073,12979.7762919608
"21",11643.3980692083,1549666867.58057,0.102803738317757,1334.13936209679,60.6426982771267,12977.5374313051
"22",11576.3732354434,1549666800.55573,0.107476635514019,1394.01353096962,60.6092839552009,12970.386766413
"23",11528.9583208164,1549666753.14082,0.11214953271028,1456.28947210312,60.6787280042966,12985.2477929195
"24",11471.0722271061,1549666695.25473,0.116822429906542,1517.33759617805,60.6935038471222,12988.4098232841
"25",11423.547096069,1549666647.72959,0.121495327102804,1579.852257967,60.763548383346,13003.399354036
"26",11347.4933030517,1549666571.6758,0.126168224299065,1638.40812397003,60.6817823692604,12985.9014270217
"27",11308.8004916055,1549666532.98299,0.130841121495327,1702.40007400513,60.8000026430403,13011.2005656106
