"","Remaining","Complete","Percent","Passed","Average","Total"
"1",1688.5698223114,1550137696.12728,0.00934579439252336,15.9299039840698,7.96495199203491,1704.49972629547
"2",2163.3080312411,1550138185.69351,0.014018691588785,30.7579340934753,10.2526446978251,2194.06596533457
"3",2339.22638654709,1550138375.41063,0.0186915887850467,44.5566930770874,11.1391732692719,2383.78307962418
"4",2418.96466975212,1550138468.46219,0.0233644859813084,57.8699681758881,11.5739936351776,2476.83463792801
"5",2453.50477218628,1550138515.9065,0.0280373831775701,70.7741761207581,11.7956960201263,2524.27894830704
"6",2495.46091113772,1550138571.47603,0.0327102803738318,84.3875670433044,12.0553667204721,2579.84847818102
"7",2483.64446145296,1550138571.72422,0.0373831775700935,96.4522120952606,12.0565265119076,2580.09667354822
"8",2442.44304921892,1550138541.29981,0.0420560747663551,107.229207038879,11.9143563376533,2549.6722562578
"9",2403.59575052261,1550138513.04662,0.0467289719626168,117.82332110405,11.782332110405,2521.41907162666
"10",2393.65385222435,1550138514.98678,0.0514018691588785,129.705381155014,11.7913982868195,2523.35923337936
"11",2355.78662085533,1550138487.36189,0.0560747663551402,139.947720050812,11.6623100042343,2495.73434090614
"12",2403.77893203955,1550138550.87477,0.0607476635514019,155.468289136887,11.9590991643759,2559.24722117644
"13",2406.18101528713,1550138566.24124,0.0654205607476635,168.432671070099,12.0309050764356,2574.61368635723
"14",2401.78364327749,1550138574.45016,0.0700934579439252,181.038968086243,12.0692645390828,2582.82261136373
"15",2427.24509963393,1550138615.01367,0.0747663551401869,196.141018152237,12.2588136345148,2623.38611778617
"16",2449.13030627195,1550138652.10413,0.0794392523364486,211.346270084381,12.4321335343754,2660.47657635633
"17",2502.9872953097,1550138724.48102,0.0841121495327103,229.866180181503,12.7703433434168,2732.85347549121
"18",2497.49723139562,1550138732.47066,0.088785046728972,243.345884084702,12.8076781097211,2740.84311548032
"19",2511.25335011482,1550138761.773,0.0934579439252336,258.892097949982,12.9446048974991,2770.1454480648
"20",2488.07110813686,1550138750.42142,0.0981308411214953,270.722763061523,12.8915601457868,2758.79387119838
"21",2504.55357430198,1550138783.16122,0.102803738317757,286.980097055435,13.0445498661561,2791.53367135742
"22",2484.89143255483,1550138775.74675,0.107476635514019,299.227764129639,13.0099027882452,2784.11919668446
"23",2482.85518745581,1550138788.10655,0.11214953271028,313.623813152313,13.0676588813464,2796.47900060813
"24",2513.06164086342,1550138837.10475,0.116822429906542,332.41556096077,13.2966224384308,2845.47720182419
"25",2492.92889459317,1550138829.32321,0.121495327102804,344.766762018204,13.2602600776232,2837.69565661137
"26",2493.20622852114,1550138844.81543,0.126168224299065,359.981647968292,13.3326536284553,2853.18787648943
"27",2493.17757955619,1550138860.12218,0.130841121495327,375.317054986954,13.4041805352483,2868.49463454315
"28",2474.90457822537,1550138854.49014,0.135514018691589,387.958014965057,13.377862585002,2862.86259319042
"29",2489.7455107371,1550138887.30983,0.14018691588785,405.936768054962,13.5312256018321,2895.68227879206
"30",2468.20597201778,1550138877.94492,0.144859813084112,418.111394166946,13.487464327966,2886.31736618473
"31",2463.86874230206,1550138888.70398,0.149532710280374,433.207690954208,13.537740342319,2897.07643325627
"32",2442.54456130664,1550138879.49791,0.154205607476636,445.325803995132,13.4947213331858,2887.87036530177
"33",2454.25969067742,1550138909.46963,0.158878504672897,463.582386016846,13.634776059319,2917.84207669426
"34",2467.90063308988,1550138942.07859,0.163551401869159,482.550403118134,13.7871543748038,2950.45103620802
"35",2446.64696950383,1550138933.102,0.168224299065421,494.827476978302,13.7452076938417,2941.47444648213
"36",2435.13800995414,1550138935.80571,0.172897196261682,509.040148973465,13.7578418641477,2944.17815892761
"37",2418.31923304106,1550138932.08389,0.177570093457944,522.137107133865,13.7404501877333,2940.45634017493
"38",2400.2082998936,1550138926.73941,0.182242990654206,534.903563976288,13.715475999392,2935.11186386989
"39",2393.16154410839,1550138934.94117,0.186915887850467,550.152079105377,13.7538019776344,2943.31362321377
"40",2374.54917645454,1550138928.93115,0.191588785046729,562.754429101944,13.7257177829742,2937.30360555649
"41",2390.16810076577,1550138965.44135,0.196261682242991,583.6456990242,13.8963261672429,2973.81379978997
"42",2393.88882231158,1550138987.48841,0.200934579439252,601.972043037415,13.9993498380794,2995.86086534899
"43",2377.85777628422,1550138984.93087,0.205607476635514,615.445542097092,13.9873986840248,2993.30331838131
"44",2365.30768656201,1550138986.75089,0.210280373831776,629.81565618515,13.9959034707811,2995.12334274716
"45",2342.88856402687,1550138976.02132,0.214953271028037,641.505202054977,13.9457652620647,2984.39376608185
"46",2333.14453537921,1550138981.40558,0.219626168224299,656.63349199295,13.9709253615521,2989.77802737216
"47",2317.75540518761,1550138979.57729,0.224299065420561,670.194334030151,13.9623819589615,2987.94973921776
"48",2314.86969942949,1550138993.9434,0.228971962616822,687.44615316391,14.0295133298757,3002.3158525934
"49",2294.90417856216,1550138986.19764,0.233644859813084,699.665908098221,13.9933181619644,2994.57008666039
"50",2280.05121698099,1550138985.06902,0.238317757009346,713.390258073807,13.988044275957,2993.4414750548
"51",2269.67306459867,1550138989.83765,0.242990654205607,728.537033081055,14.0103275592511,2998.21009767973
"52",2255.58890315722,1550138989.73951,0.247663551401869,742.523055076599,14.0098689637094,2998.11195823382
"53",2238.52830816198,1550138985.65916,0.252336448598131,755.503304004669,13.9908019260124,2994.03161216665
"54",2215.77533443191,1550138973.86605,0.257009345794392,766.463165998459,13.9356939272447,2982.23850043037
"55",2195.40043280806,1550138965.14459,0.261682242990654,778.116609096527,13.8949394481523,2973.51704190459
